comment_count,close_style,user_age,original_price,discount_rate,price,good_rate,sole_material,style,brand,is_plus,is_return,sales,cluster
1355,松紧带鞋,45,177,56,99,90,MD发泡底,日常休闲,李宁休闲,0,1,350,2
2312,松紧带鞋,48,148,67,99,97,MD发泡底,潮流高街,特步男鞋,1,0,2415,1
5063,拉链鞋款,44,255,53,135,96,TPR鞋底,日常休闲,李宁休闲,1,0,131,1
716,拉链鞋款,43,172,69,119,90,混合鞋底,运动休闲,安踏运动,0,1,32,2
1805,松紧带鞋,32,165,60,99,98,TPR鞋底,工装硬朗,鸿星尔克,0,0,1300,1
219,魔术贴鞋,49,185,98,181,95,MD发泡底,运动休闲,其他品牌,0,1,248,2
992,系带设计,50,116,85,99,90,TPR鞋底,潮流高街,特步男鞋,0,1,1376,2
2490,系带设计,44,141,87,123,97,橡胶大底,简约百搭,阿迪达斯,0,0,1175,1
1645,松紧带鞋,47,159,71,113,90,橡胶大底,户外机能,其他品牌,1,1,2358,2
604,套脚款式,50,115,86,99,91,EVA轻底,简约百搭,斯凯奇潮,0,1,373,2
564,拉链鞋款,39,299,99,296,94,橡胶大底,复古潮鞋,斯凯奇潮,1,1,965,3
699,魔术贴鞋,43,182,94,171,90,EVA轻底,运动休闲,安踏运动,0,1,3485,2
389,魔术贴鞋,38,116,100,116,89,EVA轻底,户外机能,耐克潮流,1,1,411,2
188,魔术贴鞋,49,245,60,147,97,EVA轻底,日常休闲,特步男鞋,0,1,2621,2
522,魔术贴鞋,54,146,68,99,92,EVA轻底,户外机能,耐克潮流,1,0,1411,1
1611,系带设计,34,121,87,105,92,EVA轻底,户外机能,阿迪达斯,0,1,3907,2
1806,套脚款式,54,255,82,209,91,橡胶大底,工装硬朗,斯凯奇潮,0,0,817,1
2117,拉链鞋款,56,124,80,99,100,混合鞋底,运动休闲,耐克潮流,0,0,4759,1
3938,拉链鞋款,44,124,80,99,98,混合鞋底,复古潮鞋,李宁休闲,0,1,1396,2
1705,魔术贴鞋,45,138,72,99,95,MD发泡底,工装硬朗,鸿星尔克,0,1,978,2
807,拉链鞋款,54,191,53,101,96,混合鞋底,户外机能,安踏运动,0,0,7,1
765,套脚款式,44,139,79,110,99,PU中底,日常休闲,回力经典,0,0,4937,1
1429,魔术贴鞋,38,592,72,426,96,EVA轻底,工装硬朗,回力经典,1,0,1087,3
690,魔术贴鞋,49,292,51,149,91,橡胶大底,潮流高街,其他品牌,0,1,943,2
1143,松紧带鞋,41,327,56,183,100,MD发泡底,运动休闲,京东京造,1,1,1256,2
162,套脚款式,58,180,55,99,91,EVA轻底,运动休闲,阿迪达斯,1,1,745,2
1489,魔术贴鞋,46,146,68,99,99,MD发泡底,潮流高街,其他品牌,1,1,174,2
210,拉链鞋款,45,176,98,172,92,混合鞋底,户外机能,李宁休闲,1,1,29,2
413,系带设计,44,223,73,163,94,TPR鞋底,工装硬朗,其他品牌,1,0,858,1
2838,系带设计,53,282,60,169,100,TPR鞋底,复古潮鞋,京东京造,0,0,15,1
2163,拉链鞋款,54,334,58,194,93,橡胶大底,工装硬朗,回力经典,0,1,64,2
1201,套脚款式,46,260,60,156,92,混合鞋底,潮流高街,李宁休闲,1,0,2816,1
356,系带设计,44,103,96,99,98,橡胶大底,日常休闲,耐克潮流,0,1,838,2
1618,套脚款式,61,101,98,99,92,混合鞋底,潮流高街,京东京造,1,0,19,1
971,套脚款式,47,129,77,99,92,EVA轻底,潮流高街,阿迪达斯,1,0,147,1
2925,套脚款式,57,155,64,99,97,TPR鞋底,简约百搭,李宁休闲,0,0,801,1
22600,魔术贴鞋,50,252,73,184,94,TPR鞋底,日常休闲,特步男鞋,0,0,46,0
2612,松紧带鞋,43,252,58,146,94,混合鞋底,运动休闲,斯凯奇潮,0,1,481,2
1904,松紧带鞋,19,111,90,100,91,混合鞋底,运动休闲,其他品牌,0,0,976,1
1877,松紧带鞋,49,163,63,103,96,MD发泡底,简约百搭,李宁休闲,0,1,4777,2
330,拉链鞋款,61,201,78,157,91,TPR鞋底,户外机能,京东京造,1,1,464,2
4172,魔术贴鞋,56,329,62,204,87,PU中底,运动休闲,特步男鞋,0,0,4040,1
636,系带设计,41,129,77,99,92,橡胶大底,户外机能,鸿星尔克,0,1,1199,2
406,系带设计,45,105,94,99,91,MD发泡底,工装硬朗,李宁休闲,1,1,4658,2
1605,套脚款式,58,489,53,259,92,混合鞋底,工装硬朗,耐克潮流,1,0,17,3
3090,系带设计,33,180,55,99,89,橡胶大底,户外机能,京东京造,0,1,588,2
563,松紧带鞋,44,114,87,99,90,混合鞋底,运动休闲,鸿星尔克,0,1,1038,2
445,松紧带鞋,42,388,52,202,98,橡胶大底,户外机能,其他品牌,1,0,4167,3
2792,拉链鞋款,41,162,61,99,93,PU中底,日常休闲,回力经典,1,0,13,1
3007,系带设计,52,204,77,157,94,PU中底,简约百搭,京东京造,0,0,590,1
167,松紧带鞋,29,259,85,220,94,PU中底,日常休闲,李宁休闲,0,0,506,1
459,拉链鞋款,52,170,74,126,91,PU中底,日常休闲,其他品牌,0,0,157,1
304,系带设计,41,340,100,340,94,混合鞋底,潮流高街,鸿星尔克,1,0,13,3
13435,魔术贴鞋,48,280,50,140,90,TPR鞋底,工装硬朗,鸿星尔克,1,0,449,0
9857,魔术贴鞋,43,171,58,99,91,橡胶大底,日常休闲,特步男鞋,1,1,837,2
199,魔术贴鞋,39,132,75,99,97,MD发泡底,日常休闲,李宁休闲,1,1,20,2
5815,松紧带鞋,47,125,79,99,95,TPR鞋底,潮流高街,安踏运动,0,1,275,2
1109,拉链鞋款,44,387,75,290,99,EVA轻底,运动休闲,回力经典,1,0,1051,3
2137,系带设计,44,180,55,99,86,PU中底,日常休闲,京东京造,1,1,48,2
128,魔术贴鞋,55,188,67,126,100,TPR鞋底,运动休闲,耐克潮流,1,0,1388,1
1159,魔术贴鞋,46,121,82,99,96,TPR鞋底,简约百搭,回力经典,0,1,4,2
2210,松紧带鞋,57,150,66,99,99,EVA轻底,户外机能,耐克潮流,0,1,1213,2
1735,系带设计,55,150,66,99,96,MD发泡底,简约百搭,斯凯奇潮,0,1,1251,2
55,套脚款式,24,183,54,99,95,混合鞋底,简约百搭,特步男鞋,0,0,18,1
748,拉链鞋款,42,190,59,112,90,橡胶大底,复古潮鞋,特步男鞋,1,0,628,1
494,拉链鞋款,43,168,59,99,91,MD发泡底,简约百搭,鸿星尔克,0,0,466,1
938,松紧带鞋,49,132,75,99,92,混合鞋底,工装硬朗,耐克潮流,1,0,27,1
897,套脚款式,39,150,92,138,90,混合鞋底,复古潮鞋,特步男鞋,0,1,38,2
1270,松紧带鞋,45,198,82,162,96,橡胶大底,运动休闲,斯凯奇潮,0,1,2588,2
184,拉链鞋款,65,182,68,124,94,MD发泡底,复古潮鞋,其他品牌,0,0,2332,1
1258,套脚款式,51,109,97,106,94,MD发泡底,日常休闲,特步男鞋,1,1,1403,2
1316,套脚款式,40,210,69,145,85,混合鞋底,工装硬朗,耐克潮流,1,1,2473,2
15661,拉链鞋款,49,343,51,175,92,橡胶大底,潮流高街,安踏运动,1,0,1496,0
354,拉链鞋款,46,106,93,99,96,混合鞋底,复古潮鞋,耐克潮流,0,1,2934,2
2371,松紧带鞋,54,292,52,152,99,MD发泡底,潮流高街,李宁休闲,0,1,265,2
3405,系带设计,62,157,63,99,85,混合鞋底,潮流高街,特步男鞋,0,0,4083,1
502,拉链鞋款,48,184,82,151,99,MD发泡底,工装硬朗,回力经典,0,0,3549,1
292,拉链鞋款,32,170,90,153,91,橡胶大底,简约百搭,安踏运动,0,1,317,2
4367,松紧带鞋,53,212,56,119,94,混合鞋底,简约百搭,鸿星尔克,1,0,264,1
10649,套脚款式,59,170,64,109,90,MD发泡底,简约百搭,其他品牌,1,0,1310,0
259,松紧带鞋,44,124,80,99,93,EVA轻底,复古潮鞋,阿迪达斯,1,1,4470,2
1923,系带设计,61,194,51,99,98,MD发泡底,工装硬朗,阿迪达斯,0,0,39,1
1220,魔术贴鞋,47,177,69,122,94,EVA轻底,运动休闲,特步男鞋,0,0,1200,1
2739,系带设计,45,171,58,99,97,MD发泡底,复古潮鞋,耐克潮流,0,1,241,2
3051,系带设计,45,234,96,225,98,MD发泡底,复古潮鞋,鸿星尔克,0,1,1311,2
2816,魔术贴鞋,42,102,97,99,98,TPR鞋底,日常休闲,回力经典,1,0,13,1
4679,套脚款式,63,134,74,99,92,混合鞋底,工装硬朗,安踏运动,0,0,6,1
202,拉链鞋款,39,334,58,194,96,混合鞋底,简约百搭,李宁休闲,1,0,935,1
5086,套脚款式,53,155,87,135,96,PU中底,工装硬朗,斯凯奇潮,1,1,26,2
1930,套脚款式,47,168,71,119,92,橡胶大底,日常休闲,回力经典,1,1,1274,2
104,拉链鞋款,42,198,55,109,92,MD发泡底,简约百搭,回力经典,1,1,32,2
198,套脚款式,53,291,53,154,96,MD发泡底,复古潮鞋,耐克潮流,0,0,56,1
731,系带设计,38,114,87,99,90,MD发泡底,简约百搭,安踏运动,1,0,1128,1
300,套脚款式,45,443,79,350,89,橡胶大底,工装硬朗,鸿星尔克,0,0,4927,3
1237,拉链鞋款,51,169,62,105,91,EVA轻底,运动休闲,回力经典,1,0,1091,1
137,拉链鞋款,54,114,87,99,97,MD发泡底,复古潮鞋,京东京造,0,1,41,2
1081,系带设计,44,211,54,114,99,PU中底,潮流高街,阿迪达斯,1,0,445,1
1502,魔术贴鞋,56,289,54,156,91,EVA轻底,户外机能,安踏运动,1,0,585,1
7308,拉链鞋款,37,171,58,99,91,EVA轻底,简约百搭,特步男鞋,1,0,3791,1
5804,系带设计,22,286,79,226,95,橡胶大底,运动休闲,安踏运动,1,0,1073,1
4715,套脚款式,44,613,61,374,93,混合鞋底,简约百搭,其他品牌,1,1,1024,3
137,拉链鞋款,42,146,68,99,90,混合鞋底,潮流高街,耐克潮流,1,1,2993,2
929,系带设计,44,272,64,174,99,MD发泡底,工装硬朗,耐克潮流,0,0,170,1
1818,松紧带鞋,55,116,88,102,92,TPR鞋底,户外机能,回力经典,1,0,834,1
2424,魔术贴鞋,46,180,66,119,95,TPR鞋底,简约百搭,特步男鞋,1,1,1065,2
1543,套脚款式,52,152,65,99,95,混合鞋底,潮流高街,李宁休闲,0,0,278,1
804,魔术贴鞋,48,166,87,144,97,MD发泡底,户外机能,耐克潮流,1,0,24,1
600,魔术贴鞋,53,155,89,138,94,橡胶大底,简约百搭,斯凯奇潮,0,0,928,1
787,套脚款式,59,175,57,100,98,橡胶大底,工装硬朗,斯凯奇潮,1,0,2510,1
1119,魔术贴鞋,50,245,74,181,99,PU中底,日常休闲,特步男鞋,0,0,29,1
2385,松紧带鞋,36,432,66,285,100,TPR鞋底,简约百搭,耐克潮流,0,1,169,3
3666,松紧带鞋,51,274,73,200,97,TPR鞋底,户外机能,其他品牌,0,1,575,2
2961,拉链鞋款,58,430,60,258,96,混合鞋底,复古潮鞋,李宁休闲,1,1,486,3
4491,魔术贴鞋,45,174,57,99,90,混合鞋底,复古潮鞋,李宁休闲,0,0,1246,1
2881,套脚款式,54,220,76,167,90,PU中底,运动休闲,耐克潮流,0,0,998,1
2594,拉链鞋款,63,151,77,116,92,PU中底,工装硬朗,回力经典,0,1,4510,2
1352,系带设计,59,138,93,128,87,混合鞋底,运动休闲,安踏运动,1,0,1376,1
190,拉链鞋款,52,237,63,149,90,MD发泡底,日常休闲,回力经典,0,1,688,2
97,拉链鞋款,50,667,58,387,91,TPR鞋底,日常休闲,耐克潮流,1,0,1087,3
279,松紧带鞋,42,165,86,142,97,橡胶大底,潮流高街,耐克潮流,1,1,1113,2
3934,拉链鞋款,39,99,100,99,86,PU中底,简约百搭,安踏运动,0,1,4615,2
4698,系带设计,46,112,88,99,92,TPR鞋底,简约百搭,京东京造,1,0,1018,1
3466,魔术贴鞋,52,139,71,99,97,混合鞋底,简约百搭,回力经典,0,0,466,1
1497,拉链鞋款,55,156,68,106,96,混合鞋底,复古潮鞋,京东京造,1,0,1099,1
1576,套脚款式,25,341,59,201,93,混合鞋底,户外机能,特步男鞋,1,1,1,2
248,魔术贴鞋,57,157,63,99,93,橡胶大底,复古潮鞋,安踏运动,0,0,1411,1
1108,系带设计,43,255,58,148,97,TPR鞋底,工装硬朗,其他品牌,0,0,2702,1
268,松紧带鞋,31,138,72,99,99,PU中底,工装硬朗,特步男鞋,0,0,947,1
1575,系带设计,46,403,74,298,96,MD发泡底,复古潮鞋,耐克潮流,0,0,445,3
2345,松紧带鞋,47,168,59,99,98,橡胶大底,潮流高街,回力经典,1,1,42,2
142,松紧带鞋,57,156,90,140,96,TPR鞋底,户外机能,其他品牌,1,1,4868,2
5409,拉链鞋款,58,311,82,255,94,混合鞋底,潮流高街,斯凯奇潮,1,0,951,1
296,套脚款式,49,276,70,193,85,混合鞋底,日常休闲,京东京造,1,0,15,1
1664,拉链鞋款,51,246,98,241,92,PU中底,工装硬朗,其他品牌,0,0,1187,1
652,系带设计,44,453,62,281,100,MD发泡底,运动休闲,阿迪达斯,1,1,463,3
984,魔术贴鞋,51,109,91,99,92,EVA轻底,日常休闲,安踏运动,0,1,11,2
3568,魔术贴鞋,50,162,64,104,99,PU中底,日常休闲,斯凯奇潮,1,1,657,2
443,魔术贴鞋,33,205,95,195,94,橡胶大底,潮流高街,特步男鞋,1,0,20,1
4089,松紧带鞋,49,136,73,99,99,EVA轻底,潮流高街,特步男鞋,0,1,264,2
1575,系带设计,36,99,100,99,94,混合鞋底,工装硬朗,斯凯奇潮,1,1,1374,2
1013,松紧带鞋,35,141,70,99,98,EVA轻底,户外机能,斯凯奇潮,0,0,3068,1
734,系带设计,43,108,92,99,91,EVA轻底,户外机能,阿迪达斯,1,0,1093,1
2634,拉链鞋款,56,108,96,104,91,EVA轻底,运动休闲,耐克潮流,1,1,1100,2
655,拉链鞋款,57,183,71,130,91,EVA轻底,简约百搭,回力经典,1,1,267,2
219,套脚款式,43,140,82,115,92,MD发泡底,简约百搭,斯凯奇潮,1,1,107,2
827,系带设计,39,123,87,107,95,EVA轻底,户外机能,鸿星尔克,1,0,7,1
703,拉链鞋款,46,194,69,134,96,EVA轻底,运动休闲,其他品牌,0,0,621,1
5149,套脚款式,39,127,78,99,100,MD发泡底,简约百搭,回力经典,1,0,703,1
86,套脚款式,54,160,62,99,96,混合鞋底,工装硬朗,耐克潮流,0,0,2,1
1296,魔术贴鞋,40,269,68,183,92,PU中底,运动休闲,京东京造,1,0,1398,1
758,松紧带鞋,50,100,99,99,90,混合鞋底,简约百搭,李宁休闲,1,0,501,1
646,拉链鞋款,53,125,81,101,89,EVA轻底,运动休闲,特步男鞋,0,1,456,2
1295,系带设计,45,287,100,287,91,混合鞋底,简约百搭,其他品牌,0,1,283,2
1782,拉链鞋款,53,262,55,144,89,混合鞋底,工装硬朗,其他品牌,1,1,8,2
2176,系带设计,55,155,64,99,93,PU中底,工装硬朗,李宁休闲,1,0,466,1
221,系带设计,38,604,54,326,91,橡胶大底,日常休闲,特步男鞋,1,1,16,3
688,系带设计,50,130,76,99,95,TPR鞋底,运动休闲,京东京造,1,1,7,2
1007,拉链鞋款,50,192,74,142,90,混合鞋底,运动休闲,特步男鞋,1,0,0,1
532,拉链鞋款,45,412,74,305,91,EVA轻底,简约百搭,安踏运动,0,1,0,3
1322,松紧带鞋,54,348,63,219,90,橡胶大底,户外机能,李宁休闲,0,0,1379,1
1331,松紧带鞋,48,229,85,195,90,TPR鞋底,工装硬朗,特步男鞋,1,1,878,2
968,魔术贴鞋,57,194,51,99,88,MD发泡底,工装硬朗,耐克潮流,1,1,1172,2
766,魔术贴鞋,49,228,69,157,97,橡胶大底,运动休闲,耐克潮流,1,1,31,2
401,松紧带鞋,49,540,60,324,93,混合鞋底,简约百搭,其他品牌,0,0,948,3
545,松紧带鞋,38,132,75,99,92,混合鞋底,潮流高街,回力经典,0,1,586,2
3120,拉链鞋款,50,132,75,99,92,橡胶大底,工装硬朗,斯凯奇潮,1,0,261,1
178,系带设计,40,138,72,99,93,TPR鞋底,潮流高街,阿迪达斯,1,1,1476,2
781,套脚款式,49,258,55,142,93,PU中底,运动休闲,安踏运动,0,1,1100,2
2124,拉链鞋款,33,214,72,154,99,橡胶大底,潮流高街,阿迪达斯,0,1,4629,2
820,系带设计,53,177,56,99,99,混合鞋底,工装硬朗,阿迪达斯,1,0,3179,1
674,系带设计,56,100,99,99,97,橡胶大底,日常休闲,阿迪达斯,0,1,975,2
1203,魔术贴鞋,50,99,100,99,94,EVA轻底,简约百搭,李宁休闲,0,1,1082,2
627,系带设计,39,190,52,99,91,EVA轻底,日常休闲,京东京造,1,1,793,2
1305,拉链鞋款,54,143,76,109,97,橡胶大底,工装硬朗,回力经典,1,1,2787,2
1380,拉链鞋款,52,132,75,99,90,混合鞋底,复古潮鞋,鸿星尔克,1,0,4871,1
98,套脚款式,42,213,86,183,94,EVA轻底,简约百搭,耐克潮流,1,0,50,1
601,松紧带鞋,42,186,85,158,96,TPR鞋底,运动休闲,耐克潮流,0,0,1180,1
1563,套脚款式,42,437,97,424,88,混合鞋底,日常休闲,特步男鞋,0,0,3922,3
9207,套脚款式,54,124,80,99,91,PU中底,复古潮鞋,京东京造,1,0,730,1
1556,套脚款式,45,375,64,240,97,MD发泡底,工装硬朗,斯凯奇潮,1,0,3362,3
4369,系带设计,40,213,62,132,98,TPR鞋底,日常休闲,安踏运动,1,1,1009,2
2147,系带设计,53,99,100,99,96,TPR鞋底,潮流高街,阿迪达斯,0,0,2,1
5291,魔术贴鞋,49,896,52,466,94,EVA轻底,日常休闲,特步男鞋,0,1,223,3
191,套脚款式,33,155,69,107,95,混合鞋底,运动休闲,回力经典,1,0,1484,1
1428,松紧带鞋,52,270,83,224,96,橡胶大底,日常休闲,斯凯奇潮,0,0,33,1
510,魔术贴鞋,60,136,73,99,91,TPR鞋底,日常休闲,阿迪达斯,1,1,4,2
3658,拉链鞋款,49,146,84,123,95,混合鞋底,户外机能,鸿星尔克,1,1,357,2
44,松紧带鞋,43,121,82,99,90,TPR鞋底,日常休闲,特步男鞋,0,1,167,2
497,松紧带鞋,44,134,74,99,94,PU中底,运动休闲,鸿星尔克,0,1,2892,2
1867,系带设计,43,249,61,152,100,EVA轻底,户外机能,李宁休闲,0,0,1211,1
409,套脚款式,44,108,92,99,91,PU中底,运动休闲,鸿星尔克,0,1,3698,2
1838,魔术贴鞋,39,186,88,164,93,EVA轻底,复古潮鞋,京东京造,0,1,4128,2
193,拉链鞋款,38,179,77,138,91,TPR鞋底,简约百搭,阿迪达斯,0,1,902,2
2193,系带设计,46,108,92,99,94,TPR鞋底,简约百搭,其他品牌,1,0,636,1
3158,系带设计,55,177,56,99,95,PU中底,潮流高街,特步男鞋,1,0,3048,1
766,套脚款式,52,213,69,147,95,橡胶大底,简约百搭,回力经典,0,1,3889,2
691,套脚款式,38,127,78,99,94,MD发泡底,简约百搭,耐克潮流,1,1,338,2
19153,拉链鞋款,42,132,75,99,94,MD发泡底,潮流高街,斯凯奇潮,1,0,1019,0
760,系带设计,37,138,72,99,98,混合鞋底,日常休闲,李宁休闲,1,1,2050,2
295,系带设计,38,246,87,214,90,MD发泡底,简约百搭,安踏运动,1,0,4734,1
4256,系带设计,46,203,73,148,85,混合鞋底,简约百搭,阿迪达斯,1,0,39,1
158,魔术贴鞋,43,188,85,160,96,混合鞋底,户外机能,京东京造,0,1,1112,2
201,松紧带鞋,55,152,65,99,95,橡胶大底,户外机能,京东京造,1,0,1292,1
707,松紧带鞋,50,159,64,102,97,TPR鞋底,户外机能,安踏运动,0,0,25,1
10531,系带设计,50,125,79,99,100,PU中底,日常休闲,鸿星尔克,1,0,1437,0
735,系带设计,45,146,72,105,95,PU中底,日常休闲,京东京造,1,1,10,2
380,拉链鞋款,35,134,89,119,96,混合鞋底,工装硬朗,阿迪达斯,0,0,1136,1
2169,套脚款式,58,312,77,240,93,PU中底,复古潮鞋,特步男鞋,1,0,478,1
554,魔术贴鞋,51,321,66,212,93,TPR鞋底,户外机能,耐克潮流,1,1,18,2
1454,拉链鞋款,45,108,92,99,93,PU中底,工装硬朗,京东京造,0,0,525,1
25423,系带设计,52,217,96,208,100,EVA轻底,运动休闲,安踏运动,1,0,1115,0
170,系带设计,53,149,82,122,93,PU中底,户外机能,阿迪达斯,0,1,816,2
3239,拉链鞋款,33,190,80,152,93,MD发泡底,运动休闲,京东京造,0,1,42,2
795,系带设计,45,172,67,115,94,TPR鞋底,简约百搭,鸿星尔克,0,1,988,2
1151,魔术贴鞋,40,310,50,155,91,PU中底,复古潮鞋,京东京造,1,0,1138,1
851,系带设计,40,261,54,141,91,混合鞋底,潮流高街,安踏运动,0,1,8,2
968,魔术贴鞋,58,874,50,437,97,TPR鞋底,工装硬朗,阿迪达斯,1,1,45,3
485,套脚款式,45,180,55,99,94,PU中底,工装硬朗,京东京造,1,0,469,1
1568,拉链鞋款,53,367,57,209,92,PU中底,运动休闲,耐克潮流,0,0,548,1
971,魔术贴鞋,49,168,59,99,88,EVA轻底,复古潮鞋,阿迪达斯,0,1,133,2
1646,拉链鞋款,47,164,91,149,93,TPR鞋底,潮流高街,李宁休闲,0,0,6,1
2003,套脚款式,44,334,94,314,98,MD发泡底,户外机能,李宁休闲,1,1,11,3
3088,松紧带鞋,58,258,69,178,87,PU中底,运动休闲,斯凯奇潮,0,0,3189,1
3509,套脚款式,45,116,85,99,92,PU中底,户外机能,阿迪达斯,0,1,29,2
10315,套脚款式,50,181,77,139,91,TPR鞋底,户外机能,鸿星尔克,1,1,1,0
608,套脚款式,56,109,91,99,85,MD发泡底,简约百搭,阿迪达斯,0,1,1416,2
7804,拉链鞋款,39,307,55,169,97,橡胶大底,潮流高街,李宁休闲,1,1,98,2
1422,系带设计,59,464,59,274,99,EVA轻底,简约百搭,阿迪达斯,1,0,950,3
879,套脚款式,39,144,88,127,87,PU中底,潮流高街,鸿星尔克,0,0,4265,1
393,系带设计,53,180,55,99,92,EVA轻底,复古潮鞋,阿迪达斯,1,0,16,1
1125,系带设计,51,312,58,181,91,混合鞋底,潮流高街,其他品牌,0,0,1377,1
645,松紧带鞋,55,104,95,99,94,PU中底,日常休闲,耐克潮流,1,0,1089,1
1041,系带设计,18,162,61,99,93,EVA轻底,复古潮鞋,耐克潮流,1,0,946,1
270,松紧带鞋,54,146,68,99,97,MD发泡底,户外机能,耐克潮流,0,1,767,2
697,松紧带鞋,52,545,84,458,97,PU中底,工装硬朗,耐克潮流,1,0,663,3
1178,套脚款式,47,215,65,140,94,MD发泡底,工装硬朗,鸿星尔克,1,0,856,1
3828,套脚款式,51,203,58,118,93,PU中底,工装硬朗,特步男鞋,1,1,8,2
1885,拉链鞋款,48,141,80,113,99,橡胶大底,日常休闲,耐克潮流,1,0,1198,1
7224,套脚款式,55,134,74,99,96,TPR鞋底,潮流高街,耐克潮流,1,0,265,1
921,套脚款式,50,300,67,201,95,PU中底,运动休闲,阿迪达斯,0,0,23,1
2191,拉链鞋款,52,138,100,138,98,橡胶大底,日常休闲,安踏运动,1,0,739,1
1227,拉链鞋款,49,143,84,120,87,橡胶大底,户外机能,斯凯奇潮,1,0,26,1
945,套脚款式,53,301,90,271,90,橡胶大底,运动休闲,鸿星尔克,0,0,106,1
7341,魔术贴鞋,34,194,71,138,92,混合鞋底,潮流高街,李宁休闲,1,0,497,1
3306,松紧带鞋,50,167,97,162,97,EVA轻底,复古潮鞋,李宁休闲,0,0,41,1
